unidade_orcamentaria;codigo_sigcon;codigo_uniao;codigo_plano_de_trabalho;codigo_siafi;sei;instrumento;titulo;proponente;concedente;esfera_concedente;objeto;situacao;tipo_de_contrapartida;data_assinatura;data_publicacao;inicio_vigencia;termino_vigencia;valor_proponente_r;valor_concedente_r;valor_total_convenio_r;fim_vigencia_inicial;inteiro_teor_do_instrumento_transferegov;inteiro_teor_do_instrumento_sigcon;ta_1;ta_2;ta_3;ta_4;ta_5;ta_6;ta_7;ta_8;ta_9;ta_10;ta_11;ta_12;ta_13;ta_16;ta_17;ta_20;ta_21;ta_22
1081;PR 80/2023;0;16395;9424308;1080.01.0014170/2024-97;Portaria;Portaria PRT-3 n.º 80/2023;ADVOCACIA GERAL DO ESTADO;PROCURADORIA REGIONAL DO TRABALHO 3 REGIAO;Federal;Trata-se da captação de recursos destinados à substituição de veículos da frota da Advocacia-Geral do Estado.;VIGENTE;Sem contrapartida;06/01/2023;06/01/2023;06/01/2023;31/12/2026;0,0;152009,07;152009,07;31/12/2025;;;;;;;;;;;;;;;;;;;;
1081;AC 5111654-02.2017.8.13.0024;0;16782;9437394;1080.01.0078975/2024-48;Acordo/Ajuste;Acordo 5111654-02.2017.8.13.0024 - Herculano Mineração Ltda;ADVOCACIA GERAL DO ESTADO;HERCULANO MINERACAO LTDA.;Privada;Acordo destinado ao financiamento de projetos e despesas de responsabilidade da AGE, relativos à ampliação e reformas de imóveis, modernização dos serviços informatizados, aquisição de material permanente e de bens móveis, mobiliário e veículos, bem como capacitação e treinamento dos servidores.;VIGENTE;Sem contrapartida;11/03/2024;11/05/2024;11/05/2024;31/12/2026;0,0;2000000,0;2000000,0;31/12/2024;;;;;;;;;;;;;;;;;;;;
1081;AC 5001541-37.2022.8.13.0175;0;16542;9430237;1080.01.0005822/2024-65;Acordo/Ajuste;Acordo judicial nº 5001541-37.2022.8.13.0175 - MPMG e Anglo American: aquisição de bens móveis e estruturação da frota de veículos da AGE;ADVOCACIA GERAL DO ESTADO;ANGLO AMERICAN MINÉRIO DE FERRO BRASIL S/A;Privada;Trata-se da captação de recursos destinados à substituição de veículos da frota da Advocacia-Geral do Estado. Os veículos serão destinados ao uso de trabalhadores da sede da AGE-MG, em Belo Horizonte, que, além de processos e procedimentos de todo o Estado de Minas Gerais em determinadas matérias prioritárias, cuida diretamente dos processos em tramitação em 27 (vinte e sete) das 296 (duzentas e noventa e seis) comarcas do Estado.;VIGENTE;Sem contrapartida;07/03/2024;07/03/2024;07/03/2024;31/12/2026;0,0;405283,61;405283,61;31/12/2024;;https://drive.google.com/file/d/1n1Sf2vy3xMDFGmDOey_uyl0SXTDs2Vw5/view;;;;;;;;;;;;;;;;;;
1081;AC 0064199-98.2016.8.13.0271;0;15326;9390538;1080.01.0036452/2023-80;Acordo/Ajuste;TAC n° 0064199-98.2016.8.13.0271 - BIOTEV;ADVOCACIA GERAL DO ESTADO;BIOTEV - BIOTECNOLOGIA VEGETAL LTDA.;Privada;Aparelhamento da AGE, por meio do Termo de Ajustamento de Conduta (TAC), celebrado entre o Ministério Público de Minas Gerais (MPMG) e réus -  BIOTEV, SRN Comercial, YTI - Yser Timberland, Ype - Yser Participações Energia, Ybase, Yflora, Bernardo, Florpinus Florestal (antiga Resisul Fortaleza), Florpinus Resinagem (antiga RNB), BTU - Recursos Energéticos (incorporada por Florpinus Florestal), Y Imob - Sociedade Imobiliária (incorporada por Florpinus Florestal), Florpinus Indústria de Resinas (antiga Resisul Agroflorestal), Florpinus Indústria Química (antiga Resinas Yser) e Hugo Alexandre do processo n.º 0064199-98.2016.8.13.0271.;VIGENTE;Sem contrapartida;06/03/2023;07/03/2023;06/03/2023;31/12/2026;0,0;1000000,0;1000000,0;31/12/2023;;;;;https://drive.google.com/file/d/1tu5-jCExd8VEgAcUeLerZuspqw3Im6Xm/view;https://drive.google.com/file/d/1N4A8j9bKhrCBpysHqbDxWDdvuW5PS2Gs/view;;;;;;;;;;;;;;
1081;AC 0024.23.007383-5;0;16286;9415540;1080.01.0103595/2023-52;Acordo/Ajuste;TCE nº 0024.23.007383-5 - Nexa Recursos Minerais S/A;ADVOCACIA GERAL DO ESTADO;NEXA RECURSOS MINERAIS S.A;Privada;Trata-se da captação de recursos oriundos de Termo de Compromisso Estruturante celebrado no âmbito do Comitê Interinstitucional de Recuperação de Ativos de Minas Gerais - CIRA-MG, prevendo a destinação de valores para o projetos de desenvolvimento da estrutura física e/ou tecnológica dos órgãos integrantes do CIRA-MG, com o objetivo de fortalecimento de suas atividades.;VIGENTE;Sem contrapartida;10/10/2023;10/10/2023;10/10/2023;31/12/2026;0,0;3999989,2;3999989,2;31/12/2025;;;;;;;;;;;;;;;;;;;;
1081;AC 23.830/2021 - AGE;0;13332;9288176;1500.01.0113732/2021-11;Acordo/Ajuste;Acordo Judicial - Brumadinho - Córrego do Feijão: Reestruturação logística, tecnológica e de cobrança da dívida ativa da AGE;ADVOCACIA GERAL DO ESTADO;VALE S.A.;Privada;Reestruturação logística, tecnológica e de cobrança da dívida ativa da AGE.;VIGENTE;Sem contrapartida;28/07/2021;28/07/2021;28/07/2021;28/07/2026;0,0;8700000,0;8700000,0;28/07/2024;;;;;;;;;;;;;;;;;;;;
1101;AC 23.830/2021 - OGE;0;13312;9288143;1500.01.0113770/2021-52;Acordo/Ajuste;Acordo Judicial - Brumadinho - Córrego do Feijão: Implantação da Ouvidoria 4.0 e Ouvidoria Móvel;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;VALE S.A.;Privada;Implantação da Ouvidoria 4.0 e Ouvidoria Móvel.;VIGENTE;Sem contrapartida;28/07/2021;28/07/2021;28/07/2021;28/07/2026;0,0;728000,0;728000,0;28/07/2024;;;;;;;;;;;;;;;;;;;;
1191;AC 30.16.0027.0188166.2025-56;0;18390;9492077;1190.01.0020318/2025-62;Acordo/Ajuste;Modernização e aparelhamento de unidades da Superintendência Regional de Varginha - Secretaria de Estado de Fazenda de Minas Gerais em prol da recupe;SECRETARIA DE ESTADO DE FAZENDA;NOVAMETAIS METALURGIA LTDA;Privada;Modernização e aparelhamento de unidades da Superintendência Regional de Varginha - Secretaria de Estado de Fazenda de Minas Gerais em prol da recuperação de ativos.;VIGENTE;Sem contrapartida;21/05/2025;21/05/2025;21/05/2025;31/12/2026;0,0;626087,56;626087,56;31/12/2026;;https://drive.google.com/file/d/1F81rJlFL2NoGrAxwXQCOPAFxY7O61pQs/view;;;;;;;;;;;;;;;;;;
1191;AC 30.16.0024.0231192.2025-71;0;18635;9497436;1190.01.0002699/2026-84;Acordo/Ajuste;TAC-MPMG-30.16.0024.0231192.2025-71 - Instrumentalização Tecnológica das Superintendências Regionais da Fazenda em Uberaba e Varginha para Investigaçõ;SECRETARIA DE ESTADO DE FAZENDA;LF MINERAÇÃO E BENEFICIAMENTO S.A;Privada;Instrumentalização Tecnológica das Superintendências Regionais da Fazenda em Uberaba e Varginha para Investigações Tributárias Avançadas.;VIGENTE;Sem contrapartida;08/10/2025;08/10/2025;08/10/2025;31/12/2026;0,0;1583000,0;1583000,0;31/12/2026;;https://drive.google.com/file/d/1VDQf_yRSpTYZGV_Fmmmb3Ss-1QrZUssJ/view;;;;;;;;;;;;;;;;;;
1191;AC 30.16.0024.0178451.2025-21;0;18388;9492079;1190.01.0020228/2025-67;Acordo/Ajuste;Instrumentalização Tecnológica das Superintendências Regionais para Investigações Tributárias Avançadas e do Laboratório de Auditoria Digital da Recei;SECRETARIA DE ESTADO DE FAZENDA;NEXA RECURSOS MINERAIS S.A;Privada;Instrumentalização Tecnológica das Superintendências Regionais para Investigações Tributárias Avançadas e do Laboratório de Auditoria Digital da Receita Estadual de Minas Gerais e seus servidores.;VIGENTE;Sem contrapartida;08/10/2025;08/10/2025;08/10/2025;31/12/2026;0,0;2479504,0;2479504,0;31/12/2026;;https://drive.google.com/file/d/1iu4ygIiwzgEmL5e55herHUcIuoOSDpwX/view;;;;;;;;;;;;;;;;;;
1191;AC 0027.23.000875-0;0;16248;9413787;1190.01.0003322/2024-50;Acordo/Ajuste;TAC nº 0027.23.000875-0 - NOVAMETAIS METALURGIA LTDA.;SECRETARIA DE ESTADO DE FAZENDA;NOVAMETAIS METALURGIA LTDA;Privada;Constitui objeto do presente Projeto a mútua cooperação entre os partícipes para o treinamento e capacitação dos integrantes do CIRA - Comitê Interinstitucional de Recuperação de Ativos, com duração de 40 (quarenta) horas aula, visando a fortalecer o Programa CIRA 360ª, por meio de treinamento em temáticas de Planejamento Estratégico Institucional, Planejamento Estratégico Operacional Regional, Compliance, Cadeias Econômicas, Governança e Gestão, Mercado de Capitais, Conflitos de Interesse e Controles Internos, sem prejuízo de outros temas pertinentes, voltados para lideranças públicas. Por meio do Termo de Ajustamento de Conduta (TAC) nº 0027.23.000875-0, celebrado entre o Ministério Público de Minas Gerais (MP/MG) e NOVAMETAIS METALURGIA LTDA. e do Termo de Ajustamento de Conduta (TAC) nº 0027.23.000877-6, celebrado entre o Ministério Público de Minas Gerais (MP/MG) e METTIS DO BRASIL COMÉRCIO DE METAIS LTDA.;VENCIDO;Sem contrapartida;24/01/2024;24/01/2024;24/01/2024;28/02/2026;0,0;2470799,9;2470799,9;24/07/2024;;https://drive.google.com/file/d/1ZD0dttioeJGG6VYosqXgXclj30pzGSQm/view;https://drive.google.com/file/d/1dy6Wjk4ee2UEzsKo4aV4uZWBZlD9u56K/view;https://drive.google.com/file/d/1eF61R0EVQX5mY41REjaObrm-0r0CPi18/view;https://drive.google.com/file/d/1D8cXMyx2HlEHaENqZ16SXAb9fGjmG4gN/view;https://drive.google.com/file/d/1xCGSz3GB4YXEGC_3WqouZOqWJqF0E2QZ/view;;;;;;;;;;;;;;
1191;AC 0024.23.007383-5;0;16912;9437863;1190.01.0016538/2024-81;Acordo/Ajuste;Termo de Compromisso Estruturante do inquérito civil n.º MPMG-0024.23.007383-5 - NEXA RECURSOS MINERAIS S.A;SECRETARIA DE ESTADO DE FAZENDA;NEXA RECURSOS MINERAIS S.A;Privada;Conferir maior eficácia e celeridade as ações de prevenção e repressão aos crimes contra a ordem tributária e lavagem de dinheiro e a recuperação de ativos, que serão convertidos em benefício de toda a sociedade mineira, por meio de investimentos na modernização das unidades da SEF envolvidas nessas ações.;VIGENTE;Sem contrapartida;13/12/2023;13/12/2023;13/12/2023;28/02/2027;0,0;18350000,0;18350000,0;28/02/2026;;https://drive.google.com/file/d/1DcalkBmSsS5LAabMQDJ5NwFuqKQDG5Ug/view;;;;;;;;;;;;;;;;;;
1221;TE - 202513490003 - SEDE;0;18144;9480921;1570.01.0000462/2025-27;Transferências Especiais;Transferência Especial - 202513490003 - Aécio Neves - SEDE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;MINISTERIO DA FAZENDA;Federal;Fomento e promoção do artesanato mineiro por meio da realização da 36ª Feira Nacional do Artesanato, que ocorrerá no período de 3 a 7 de dezembro de 2025, no Expominas - Av. Amazonas, 6200 - Gameleira em Belo Horizonte/MG;VIGENTE;Sem contrapartida;26/08/2025;26/08/2025;26/08/2025;01/01/2029;0,0;198000,0;198000,0;01/01/2029;;https://drive.google.com/file/d/1g4RwsBUSHKK3TCD_o7fzwF8XviJZA87U/view;;;;;;;;;;;;;;;;;;
1221;TE - 202413490007 - SEDE;0;17257;9447104;1570.01.0000153/2024-31;Transferências Especiais;Transferência Especial - 202413490007 - Aécio Neves - SEDE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;MINISTERIO DA FAZENDA;Federal;Transferência Especial para custeio de ações de promoção do artesanato Mineiro no âmbito de participações em feiras.;VIGENTE;Sem contrapartida;05/03/2024;05/03/2024;04/07/2024;03/06/2027;0,0;110000,0;110000,0;03/06/2027;;https://drive.google.com/file/d/1asWRenNzo24tMQvIdlrVpMvy7zT4AjlP/view;;;;;;;;;;;;;;;;;;
1221;AC 23.830/2021 - SEDE;0;13354;9288210;1500.01.0113746/2021-21;Acordo/Ajuste;Acordo Judicial - Brumadinho - Córrego do Feijão: Avaliação Ambiental Estratégica;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;VALE S.A.;Privada;Elaboração de instrumentos de gestão para desenvolvimento de mineração sustentável e competitiva - Avaliação Ambiental Estratégica.;VIGENTE;Sem contrapartida;28/07/2021;28/07/2021;28/07/2021;28/07/2026;0,0;2500000,0;2500000,0;28/07/2024;;;;;;;;;;;;;;;;;;;;
1221;AC 23.830/2021 - 2 - SEDE;0;13355;9288211;1500.01.0113744/2021-75;Acordo/Ajuste;Acordo Judicial - Brumadinho - Córrego do Feijão: Elaboração do Plano Estadual da Mineração de Minas Gerais;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;VALE S.A.;Privada;Elaboração de instrumentos de gestão para desenvolvimento de mineração sustentável e competitiva - Elaboração do Plano Estadual da Mineração de Minas Gerais.;VIGENTE;Sem contrapartida;28/07/2021;28/07/2021;28/07/2021;28/07/2026;0,0;3200000,0;3200000,0;28/07/2024;;;;;;;;;;;;;;;;;;;;
1221;AC 021/2025;0;18044;9480259;1500.01.0387629/2025-60;Acordo/Ajuste;Acordo judicial: Reparação relativa ao rompimento da barragem de Fundão - Projeto SEDE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;FUNDACAO RENOVA;Privada;Fomento ao associativismo e ao cooperativismo a partir de assessoria às organizações, podendo incluir aprimoramento da gestão, qualificação de produtos e serviços, apoio na comunicação e marketing, mapeamento de necessidades de infraestrutura e fornecimento de equipamentos e insumos.;VIGENTE;Sem contrapartida;25/10/2024;06/11/2024;25/09/2025;06/12/2030;0,0;55000000,0;55000000,0;06/12/2030;;https://drive.google.com/file/d/19qPWs0PdZZpqutIzxQ8rob4kI15N20Be/view;;;;;;;;;;;;;;;;;;
1221;AC 019/2025;0;17893;9473171;1500.01.0289703/2025-36;Acordo/Ajuste;Acordo judicial: Reparação relativa ao rompimento da barragem de Fundão - Projeto SEDE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;SAMARCO MINERAÇÃO S.A.;Privada;Promoção de regularização fundiária;VIGENTE;Sem contrapartida;25/10/2024;06/12/2024;24/07/2025;24/07/2035;0,0;200000000,0;200000000,0;24/07/2035;;;;;;;;;;;;;;;;;;;;
1221;AC 005/2026;0;18694;9498928;1500.01.0101658/2026-74;Acordo/Ajuste;Acordo judicial: Reparação relativa ao rompimento da barragem de Fundão - Projeto SEDE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;SAMARCO MINERAÇÃO S.A.;Privada;Criação de fundo de disponibilização de crédito para recuperação econômica de pequenas, médias e grandes empresas dos municípios atingidos, além de fundo garantidor para facilitar o acesso a essa linha de crédito.;VIGENTE;Sem contrapartida;25/10/2024;06/12/2024;10/03/2026;06/12/2044;0,0;350000000,0;350000000,0;06/12/2044;;https://drive.google.com/file/d/1W0YM785OJ3ocYrRt9TiZslR8_S7jl0A1/view;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2720;0;15894;9406399;1230.01.0007737/2023-07;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/Serra dos Aimorés;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de Serra dos Aimorés, para aquisição de Retroescavadeira, Indicação 131214.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;550000,0;550000,0;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2714;0;15893;9406398;1230.01.0007730/2023-02;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/Frei Gaspar;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de Frei Gaspar, para aquisição de Retroescavadeira, Indicação 131066.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;550000,0;550000,0;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2685;0;15887;9406391;1230.01.0007735/2023-61;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/São Geraldo da Piedade;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de São Geraldo da Piedade, para aquisição de Veículo Utilitário, Indicação 131063.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;116192,0;116192,0;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2581;0;15885;9406387;1230.01.0007728/2023-56;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/Almenara;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de Almenara, para aquisição de Trator com Implementos, Indicação 131376.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;323202,0;323202,0;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2542;0;15891;9406395;1230.01.0007736/2023-34;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/São José da Safira;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de São José da Safira, para aquisição de Aquisição de Caminhão e Retroescavadeira, Indicações 131180 e 131181.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;1200000,0;1200000,0;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2513;0;15883;9406386;1230.01.0007734/2023-88;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/Periquito;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de Periquito, para aquisição de Trator com Implementos, Indicação 131064.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;330000,0;330000,0;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2383;0;15889;9406393;1230.01.0007731/2023-72;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/Cajuri;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de Cajuri, para aquisição de Retro Escavadeira, Indicação 130615.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;504215,84;504215,84;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - Rend. 2021 - SEAPA/2321;0;15886;9406388;1230.01.0007733/2023-18;Transferências Especiais;Transferência Especial - Rendimentos 2021 - SEAPA/Nova Belem;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTÉRIO DA ECONOMIA;Federal;Formalização de convênio de saída com a Prefeitura de Nova Belém, para aquisição de Patrol, Indicação 131065.;VENCIDO;Sem contrapartida;19/12/2023;21/12/2023;21/12/2023;21/12/2024;0,0;1200000,0;1200000,0;21/12/2024;;;;;;;;;;;;;;;;;;;;
1231;TE - 202544540004/3 - SEAPA;0;18061;9480535;1570.01.0000301/2025-09;Transferências Especiais;Transferência Especial - 202544540004/3 - Rafael Simões - SEAPA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;MINISTERIO DA FAZENDA;Federal;Apoio à agricultura mineira para aquisição de insumos: sementes, mudas, fertilizantes, sêmen bovino, ração, pintainhas e transferência de embriões bovinos.;VIGENTE;Sem contrapartida;22/08/2025;22/08/2025;22/08/2025;01/01/2029;0,0;1980000,0;1980000,0;01/01/2029;;https://drive.google.com/file/d/1GahGaoWYVUo4eROXlPtI-GQVwNKvknTh/view;;;;;;;;;;;;;;;;;;
